Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""1e14087b-9241-49a9-b192-c121c236e0de""","""My Sub""","""ffd601d5-5153-4d71-8bbb-60306d95cb0d""","""Pay-As-You-Go""",1,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
12/31/2017,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000156,"""westeurope""","""Microsoft.Web""","""LargeClientSite2""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/LargeClientSite2/providers/Microsoft.Web/sites/LargeClientSite2""","""{}""","""{""AppServicePlanUri"":""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/LargeClientSite2/providers/Microsoft.Web/serverfarms/LargeClientSite2""}""",,
12/31/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""westus""","""Microsoft.Web""","""InternalTools""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/InternalTools/providers/Microsoft.Web/sites/msqrcode""","""{}""","""{""AppServicePlanUri"":""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/InternalTools/providers/Microsoft.Web/serverfarms/TenGunInternal""}""",,
12/31/2017,"""Data Services""","""a149966f-73b4-4e1d-b335-d2a572b1e6bd""","""SQL Database""","""Standard S0 Database Days""",,"""Days""",0.166666666666666656,"""westus""","""Microsoft.Sql""","""InternalWikiSite""","""/subscriptions/9C953604-9D8E-4DE2-981B-8A7F8F607930/resourceGroups/InternalWikiSite/providers/Microsoft.Sql/servers/aq5k72z5pj/databases/tgdnetdb""","""{}""","""{}""",,
12/31/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""westus""","""Microsoft.Web""","""SmallClientSite""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/SmallClientSite/providers/Microsoft.Web/sites/SmallClientSite""","""{}""","""{""AppServicePlanUri"":""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/SmallClientSite/providers/Microsoft.Web/serverfarms/SmallClientSite""}""",,
12/31/2017,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",2.0,"""westus""","""Microsoft.Web""","""InternalSASSTool""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/InternalSASSTool/providers/Microsoft.Web/sites/styleguides""","""{}""","""{""AppServicePlanUri"":""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/InternalSASSTool/providers/Microsoft.Web/serverfarms/InternalSASSTool""}""",,
12/31/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""westus""","""Microsoft.Web""","""LargeClientCMS""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/LargeClientCMS/providers/Microsoft.Web/sites/paccar""","""{}""","""{""AppServicePlanUri"":""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/LargeClientCMS/providers/Microsoft.Web/serverfarms/LargeClientCMS""}""",,
12/31/2017,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",2.0,"""westus""","""Microsoft.Web""","""InternalWikiSite""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/InternalWikiSite/providers/Microsoft.Web/sites/tgdnetdev""","""{}""","""{""AppServicePlanUri"":""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/InternalWikiSite/providers/Microsoft.Web/serverfarms/InternalWikiSite""}""",,
12/31/2017,"""Data Services""","""a149966f-73b4-4e1d-b335-d2a572b1e6bd""","""SQL Database""","""Standard S0 Database Days""",,"""Days""",0.166666666666666656,"""westus""","""Microsoft.Sql""","""LargeClientCMS""","""/subscriptions/9C953604-9D8E-4DE2-981B-8A7F8F607930/resourceGroups/LargeClientCMS/providers/Microsoft.Sql/servers/LargeClientCMS/databases/paccar""","""{}""","""{}""",,
12/31/2017,"""Azure App Service""","""d1f893a4-6aa7-431b-984a-04414c453819""",,"""Basic Small App Service Hours""","""CA Central""","""Hours""",2.0,"""canadacentral""","""Microsoft.Web""","""LargeClientSite3""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/LargeClientSite3/providers/Microsoft.Web/serverfarms/LargeClientSite3""","""{}""","""{}""",,
12/31/2017,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.002688,"""westus""","""Microsoft.Web""","""SmallClientSite2""","""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/SmallClientSite2/providers/Microsoft.Web/sites/SmallClientSite2""","""{}""","""{""AppServicePlanUri"":""/subscriptions/9c953604-9d8e-4de2-981b-8a7f8f607930/resourceGroups/SmallClientSite2/providers/Microsoft.Web/serverfarms/SmallClientSite2""}""",,
